motif,score
"Friends
same camp",1.3521088361308278
"Friends
same camp",0.5178289159649979
"Friends
same camp",1.0644261050391624
"Friends
same camp",0.8055116470566633
"Friends
same camp",0.3308351407554153
"Friends
same camp",0.891816466384163
"Friends
same camp",0.7192068277291638
"Friends
same camp",0.891816466384163
"Friends
same camp",0.8198957836112467
"Friends
same camp",0.8486640567204132
"Friends
same camp",1.308956426467078
"Friends
same camp",1.0212736953754125
"Friends
same camp",0.9349688760479129
"Friends
same camp",0.9493530126024962
"Friends
same camp",0.9349688760479129
"Friends
same camp",1.150730924366662
"Friends
same camp",0.7767433739474968
"Friends
same camp",0.83427992016583
"Friends
same camp",0.9493530126024962
"Friends
same camp",0.6904385546199971
"Friends
same camp",0.733590964283747
"Friends
same camp",0.83427992016583
"Friends
same camp",0.9493530126024962
"Friends
same camp",0.9637371491570794
"Friends
same camp",1.3808771092399943
"Friends
same camp",1.2801881533579114
"Friends
same camp",0.6185178718470808
"Friends
same camp",0.7479751008383303
"Friends
same camp",0.43152409663749824
"Friends
same camp",1.308956426467078
"Friends
same camp",1.0068895588208293
"Friends
same camp",0.6904385546199971
"Friends
same camp",0.7767433739474968
"Friends
same camp",0.575365462183331
"Friends
same camp",0.8774323298295797
"Friends
same camp",0.9493530126024962
"Friends
same camp",1.0068895588208293
"Friends
same camp",0.9781212857116627
"Friends
same camp",0.5465971890741644
"Friends
same camp",0.83427992016583
"Friends
same camp",0.7048226911745805
"Friends
same camp",0.6185178718470808
"Friends
same camp",0.9493530126024962
"Friends
same camp",0.6472861449562474
"Friends
same camp",1.1363467878120788
"Friends
same camp",0.9205847394933296
"Friends
same camp",0.4746765063012481
"Friends
same camp",0.83427992016583
"Friends
same camp",0.31645100420083205
"Friends
same camp",0.6185178718470808
"Friends
same camp",0.4602923697466648
"Friends
same camp",0.6472861449562474
"Friends
same camp",1.0068895588208293
"Friends
same camp",0.9925054222662459
"Friends
same camp",0.9205847394933296
"Friends
same camp",0.6185178718470808
"Friends
same camp",0.5178289159649979
"Friends
same camp",0.40275582352833167
"Friends
same camp",0.7479751008383303
"Friends
same camp",1.150730924366662
"Friends
same camp",1.0068895588208293
"Friends
same camp",1.1363467878120788
"Friends
same camp",1.5966391575587435
"Friends
same camp",0.6472861449562474
"Friends
same camp",0.8055116470566633
"Friends
same camp",0.8630481932749965
"Friends
same camp",0.9781212857116627
"Friends
same camp",0.6616702815108306
"Friends
same camp",0.8774323298295797
"Friends
same camp",0.891816466384163
"Friends
same camp",0.7623592373929136
"Friends
same camp",0.7911275105020801
"Friends
same camp",0.8198957836112467
"Friends
same camp",1.0931943781483289
"Friends
same camp",0.6760544180654139
"Friends
same camp",0.7192068277291638
"Friends
same camp",0.6185178718470808
"Friends
same camp",0.6760544180654139
"Friends
same camp",0.5465971890741644
"Friends
same camp",1.3521088361308278
"Friends
same camp",1.682943976886243
"Friends
same camp",0.8486640567204132
"Friends
same camp",0.7767433739474968
"Friends
same camp",0.7623592373929136
"Friends
same camp",1.0212736953754125
"Friends
same camp",1.0212736953754125
"Friends
same camp",0.6472861449562474
"Friends
same camp",1.3377246995762446
"Friends
same camp",1.0212736953754125
"Friends
same camp",1.4815660651220772
"Friends
same camp",0.9781212857116627
"Friends
same camp",1.5391026113404105
"Friends
same camp",1.3664929726854111
"Friends
same camp",1.3952612457945777
"Friends
same camp",0.6904385546199971
"Friends
same camp",0.9493530126024962
"Friends
same camp",0.6616702815108306
"Friends
same camp",0.7767433739474968
"Friends
same camp",1.2370357436941617
"Friends
same camp",1.0931943781483289
"Friends
same camp",0.8774323298295797
"Friends
same camp",0.83427992016583
"Friends
same camp",1.4240295189037442
"Friends
same camp",1.1075785147029122
"Friends
same camp",1.2945722899124947
"Friends
same camp",1.62540743066791
"Friends
same camp",0.6616702815108306
"Friends
same camp",1.3233405630216613
"Friends
same camp",1.2801881533579114
"Friends
same camp",0.8486640567204132
